Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
32.50,+14.61%,3.80,5.30,6.80,4.53,unch,unch,0,1,unch,0.00%,0.0000,Call,01/23/26
33.00,+13.29%,4.70,5.25,5.80,4.94,+4.94,unch,11,"31,364",unch,90.21%,0.9017,Call,02/13/26
33.50,+11.98%,3.35,4.45,5.55,4.80,unch,unch,0,29,unch,0.00%,0.0000,Call,01/29/26
34.00,+10.67%,3.70,4.33,4.95,3.94,-0.74,-15.81%,101,"41,056",-57,83.52%,0.8650,Call,02/13/26
34.50,+9.35%,3.15,3.93,4.70,3.67,+3.67,unch,2,63,unch,59.97%,0.9062,Call,02/13/26
35.00,+8.04%,3.15,3.47,3.80,3.15,-0.50,-13.70%,124,"86,087",-30,50.94%,0.9074,Call,02/13/26
35.50,+6.73%,2.18,2.87,3.55,2.55,-1.28,-33.42%,110,129,+1,63.68%,0.8126,Call,02/13/26
36.00,+5.41%,1.83,2.12,2.41,2.01,-0.89,-30.69%,11,"12,982",+1,34.49%,0.9015,Call,02/13/26
36.50,+4.10%,1.35,1.77,2.19,1.57,-0.45,-22.28%,8,891,unch,21.16%,0.9524,Call,02/13/26
37.00,+2.79%,0.99,1.28,1.57,1.24,-0.59,-32.24%,508,"17,859",-505,30.46%,0.7680,Call,02/13/26
37.50,+1.47%,0.83,1.11,1.38,0.87,-0.83,-48.82%,197,"2,006",-16,29.28%,0.6542,Call,02/13/26
38.00,+0.16%,0.44,0.75,1.06,0.61,-0.46,-42.99%,"12,906","64,758",-458,30.61%,0.5163,Call,02/13/26
38.50,-1.16%,0.24,0.43,0.61,0.38,-0.33,-46.48%,"1,799","13,616",+848,29.93%,0.3816,Call,02/13/26
39.00,-2.47%,0.08,0.23,0.37,0.23,-0.29,-55.77%,"19,754","169,414",+499,30.14%,0.2631,Call,02/13/26
39.50,-3.78%,0.05,0.20,0.34,0.14,-0.20,-58.82%,"1,996","1,937",+113,31.04%,0.1749,Call,02/13/26
40.00,-5.10%,0.06,0.14,0.21,0.08,-0.13,-61.90%,70,"44,228","-4,105",31.57%,0.1095,Call,02/13/26
40.50,-6.41%,0.00,0.13,0.26,0.03,-0.11,-78.57%,2,561,+3,29.60%,0.0503,Call,02/13/26
41.00,-7.72%,0.00,0.11,0.21,0.02,-0.09,-81.82%,10,841,-1,31.67%,0.0334,Call,02/13/26
41.50,-9.04%,0.00,0.12,0.23,0.05,unch,unch,0,11,-1,63.17%,0.1494,Call,02/12/26
42.00,-10.35%,0.00,0.07,0.14,0.03,-0.01,-25.00%,15,"9,415",-10,42.68%,0.0368,Call,02/13/26
42.50,-11.67%,0.00,0.07,0.14,0.15,unch,unch,0,5,unch,64.80%,0.0972,Call,01/28/26
43.00,-12.98%,0.00,0.58,1.15,0.02,unch,unch,0,21,unch,145.38%,0.2853,Call,02/10/26
44.00,-15.61%,0.00,0.41,0.82,0.02,unch,unch,0,22,unch,137.27%,0.2291,Call,02/11/26
45.00,-18.23%,0.00,1.07,2.13,0.01,unch,unch,0,141,unch,229.24%,0.3347,Call,02/09/26
46.00,-20.86%,0.00,1.07,2.13,0.00,unch,unch,0,0,unch,242.19%,0.3232,Call,N/A
47.00,-23.49%,0.00,0.46,0.92,0.00,unch,unch,0,0,unch,178.30%,0.2080,Call,N/A
48.00,-26.12%,0.00,0.47,0.93,0.00,unch,unch,0,0,unch,189.45%,0.2009,Call,N/A
49.00,-28.74%,0.00,1.06,2.11,0.00,unch,unch,0,0,unch,276.43%,0.2949,Call,N/A
50.00,-31.37%,0.00,1.06,2.12,0.00,unch,unch,0,0,unch,287.87%,0.2884,Call,N/A
51.00,-34.00%,0.00,1.06,2.12,0.00,unch,unch,0,0,unch,298.31%,0.2819,Call,N/A
52.00,-36.63%,0.00,0.57,1.13,0.00,unch,unch,0,0,unch,242.60%,0.1972,Call,N/A
17.00,-55.33%,0.00,0.01,0.01,0.00,unch,unch,0,0,unch,238.05%,-0.0026,Put,N/A
18.00,-52.71%,0.00,1.07,2.13,0.00,unch,unch,0,0,unch,655.43%,-0.0949,Put,N/A
19.00,-50.08%,0.00,1.07,2.13,0.00,unch,unch,0,0,unch,617.87%,-0.1015,Put,N/A
20.00,-47.45%,0.00,0.01,0.01,0.01,unch,unch,0,13,unch,192.87%,-0.0032,Put,01/05/26
21.00,-44.82%,0.00,0.01,0.01,0.02,unch,unch,0,10,unch,179.27%,-0.0035,Put,12/26/25
22.00,-42.20%,0.00,0.01,0.01,0.01,unch,unch,0,12,unch,166.26%,-0.0038,Put,01/14/26
23.00,-39.57%,0.00,0.01,0.01,0.06,unch,unch,0,3,unch,153.81%,-0.0040,Put,12/24/25
24.00,-36.94%,0.00,0.01,0.02,0.04,unch,unch,0,18,unch,154.09%,-0.0076,Put,01/27/26
25.00,-34.31%,0.00,0.11,0.22,0.01,unch,unch,0,31,unch,211.78%,-0.0464,Put,02/11/26
26.00,-31.69%,0.00,1.07,2.13,0.01,unch,unch,0,"3,660",unch,402.05%,-0.1595,Put,01/30/26
27.00,-29.06%,0.00,1.07,2.13,0.01,unch,unch,0,671,unch,375.84%,-0.1704,Put,02/04/26
27.50,-27.75%,0.00,1.07,2.13,0.01,unch,unch,0,0,unch,363.02%,-0.1762,Put,01/28/26
28.00,-26.43%,0.00,1.07,2.13,0.01,unch,unch,0,"1,509",unch,350.39%,-0.1822,Put,02/06/26
28.50,-25.12%,0.00,1.01,2.02,0.03,unch,unch,0,3,unch,329.52%,-0.1854,Put,01/23/26
29.00,-23.80%,0.00,0.01,0.01,0.01,unch,unch,0,"9,454","-2,188",87.84%,-0.0069,Put,02/12/26
29.50,-22.49%,0.00,0.01,0.01,0.03,unch,unch,0,0,unch,82.87%,-0.0073,Put,01/26/26
30.00,-21.18%,0.00,0.09,0.18,0.01,unch,unch,0,"20,617",unch,127.40%,-0.0625,Put,02/11/26
30.50,-19.86%,0.00,0.02,0.03,0.03,unch,unch,0,6,unch,85.19%,-0.0190,Put,01/28/26
31.00,-18.55%,0.00,0.02,0.03,0.02,unch,unch,5,"20,331",unch,75.02%,-0.0149,Put,02/13/26
31.50,-17.24%,0.00,0.11,0.22,0.05,unch,unch,0,"2,043",unch,111.93%,-0.0831,Put,01/30/26
32.00,-15.92%,0.00,0.02,0.04,0.02,unch,unch,49,"36,865",+70,64.80%,-0.0171,Put,02/13/26
32.50,-14.61%,0.00,0.02,0.03,0.02,unch,unch,0,276,unch,63.73%,-0.0248,Put,02/09/26
33.00,-13.29%,0.00,0.01,0.02,0.02,unch,unch,0,"43,115",-137,54.73%,-0.0199,Put,02/12/26
33.50,-11.98%,0.00,0.03,0.05,0.02,+0.01,+100.00%,1,519,unch,49.73%,-0.0217,Put,02/13/26
34.00,-10.67%,0.01,0.03,0.06,0.03,-0.01,-25.00%,5,"65,552",+531,47.95%,-0.0321,Put,02/13/26
34.50,-9.35%,0.00,0.03,0.05,0.01,-0.05,-83.33%,129,561,unch,35.70%,-0.0158,Put,02/13/26
35.00,-8.04%,0.00,0.09,0.17,0.05,-0.01,-16.67%,18,"89,197",-7,41.55%,-0.0566,Put,02/13/26
35.50,-6.73%,0.00,0.10,0.20,0.09,+0.01,+12.50%,64,325,+14,41.43%,-0.0932,Put,02/13/26
36.00,-5.41%,0.03,0.13,0.22,0.11,-0.02,-15.38%,"12,658","36,369","+7,361",37.20%,-0.1205,Put,02/13/26
36.50,-4.10%,0.05,0.11,0.17,0.16,-0.07,-30.43%,"2,582","1,223",+1,34.68%,-0.1725,Put,02/13/26
37.00,-2.79%,0.08,0.19,0.29,0.26,+0.06,+30.00%,"1,358","47,012",+441,33.77%,-0.2564,Put,02/13/26
37.50,-1.47%,0.19,0.35,0.50,0.38,+0.07,+22.58%,"1,334","1,331",-15,31.44%,-0.3569,Put,02/13/26
38.00,-0.16%,0.15,0.45,0.75,0.51,+0.05,+10.87%,"10,293","57,065","+26,565",26.90%,-0.4847,Put,02/13/26
38.50,+1.16%,0.38,0.80,1.22,1.20,+0.57,+90.48%,6,104,+24,48.27%,-0.5664,Put,02/13/26
39.00,+2.47%,0.73,1.15,1.57,1.19,+0.12,+11.21%,238,337,+11,29.30%,-0.7426,Put,02/13/26
39.50,+3.78%,1.05,1.54,2.03,1.66,+0.27,+19.42%,81,195,+11,34.60%,-0.7971,Put,02/13/26
40.00,+5.10%,1.06,2.28,3.50,1.26,unch,unch,0,1,unch,50.06%,-0.7743,Put,02/11/26
40.50,+6.41%,1.67,2.89,4.10,0.00,unch,unch,0,0,unch,64.21%,-0.7645,Put,N/A
41.00,+7.72%,2.01,3.41,4.80,0.00,unch,unch,0,0,unch,72.46%,-0.7765,Put,N/A
41.50,+9.04%,2.43,3.92,5.40,0.00,unch,unch,0,0,unch,79.79%,-0.7880,Put,N/A
42.00,+10.35%,2.93,4.07,5.20,0.00,unch,unch,0,0,unch,53.88%,-0.9185,Put,N/A
42.50,+11.67%,3.70,4.88,6.05,0.00,unch,unch,0,0,unch,89.23%,-0.8188,Put,N/A
43.00,+12.98%,3.90,5.23,6.55,0.00,unch,unch,0,0,unch,81.99%,-0.8667,Put,N/A
44.00,+15.61%,4.95,6.38,7.80,0.00,unch,unch,0,0,unch,106.27%,-0.8408,Put,N/A
45.00,+18.23%,5.95,7.35,8.75,0.00,unch,unch,0,0,unch,114.61%,-0.8570,Put,N/A
46.00,+20.86%,6.95,8.45,9.95,0.00,unch,unch,0,0,unch,133.69%,-0.8461,Put,N/A
47.00,+23.49%,7.95,9.40,10.85,0.00,unch,unch,0,0,unch,138.98%,-0.8631,Put,N/A
48.00,+26.12%,8.95,10.40,11.85,0.00,unch,unch,0,0,unch,148.32%,-0.8695,Put,N/A
49.00,+28.74%,9.95,11.45,12.95,0.00,unch,unch,0,0,unch,162.20%,-0.8664,Put,N/A
50.00,+31.37%,10.95,12.10,13.25,0.00,unch,unch,0,0,unch,126.45%,-0.9446,Put,N/A
51.00,+34.00%,11.95,13.10,14.25,0.00,unch,unch,0,0,unch,133.63%,-0.9468,Put,N/A
52.00,+36.63%,12.95,14.10,15.25,0.00,unch,unch,0,0,unch,140.61%,-0.9487,Put,N/A
"Downloaded from Barchart.com as of 02-16-2026 11:59am CST"
