# RELATÓRIOS ECONÔMICOS DOS ESTADOS UNIDOS

## VISÃO GERAL

Os dados econômicos dos EUA são os mais importantes do mundo para mercados globais, incluindo WDO e WIN. Abaixo está a lista completa organizada por categoria.

---

## 1. INFLAÇÃO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
| **JOLTS (Job Openings and Labor Turnover)** | BLS | Mensal | ~Dia 1-7 do mês seguinte, 10h00 ET |
| **Initial Jobless Claims (pedidos de seguro-desemprego)** | DOL | Semanal | Toda quinta-feira, 8h30 ET |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Continuing Claims** | DOL | Semanal | Junto com Initial Claims |
| **ADP Employment Report** | ADP | Mensal | 2 dias antes do NFP, 8h15 ET |
| **Challenger Job Cuts** | Challenger, Gray & Christmas | Mensal | ~Dia 1-5 do mês, 7h30 ET |
| **Labor Force Participation Rate** | BLS | Mensal | Junto com NFP |
| **U-6 Unemployment (desemprego amplo)** | BLS | Mensal | Junto com NFP |
| **Average Weekly Hours** | BLS | Mensal | Junto com NFP |
| **Quits Rate (JOLTS)** | BLS | Mensal | Junto com JOLTS |
| **Hires Rate (JOLTS)** | BLS | Mensal | Junto com JOLTS |
| **Employment Cost Index (ECI)** | BLS | Trimestral | Último dia útil do trimestre |
| **Productivity (Nonfarm)** | BLS | Trimestral | ~5 semanas após fim do trimestre |

---

## 3. ATIVIDADE ECONÔMICA E PIB

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **GDP (PIB)** | BEA | Trimestral | Advance (~30 dias), Second (~60 dias), Third (~90 dias), 8h30 ET |
| **GDP Now (Atlanta Fed)** | Atlanta Fed | Contínuo | Atualizado ~6x por mês |
| **ISM Manufacturing PMI** | ISM | Mensal | 1º dia útil do mês, 10h00 ET |
| **ISM Services PMI** | ISM | Mensal | 3º dia útil do mês, 10h00 ET |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **S&P Global PMI Manufacturing (Flash e Final)** | S&P Global | Mensal | Flash ~dia 22-24, Final ~dia 1 |
| **S&P Global PMI Services** | S&P Global | Mensal | Flash ~dia 22-24, Final ~dia 3 |
| **S&P Global PMI Composite** | S&P Global | Mensal | Junto com Services |
| **Chicago PMI** | ISM-Chicago | Mensal | Último dia útil do mês, 9h45 ET |
| **Dallas Fed Manufacturing** | Dallas Fed | Mensal | Última segunda-feira do mês, 10h30 ET |
| **Richmond Fed Manufacturing** | Richmond Fed | Mensal | 4ª terça-feira do mês, 10h00 ET |
| **Philly Fed Manufacturing** | Philadelphia Fed | Mensal | 3ª quinta-feira do mês, 8h30 ET |
| **NY Empire State Manufacturing** | NY Fed | Mensal | ~Dia 15, 8h30 ET |
| **Kansas City Fed Manufacturing** | Kansas City Fed | Mensal | 4ª quinta-feira do mês, 11h00 ET |
| **Industrial Production** | Federal Reserve | Mensal | ~Dia 15-17, 9h15 ET |
| **Capacity Utilization** | Federal Reserve | Mensal | Junto com Industrial Production |
| **Factory Orders** | Census Bureau | Mensal | ~Dia 3-6, 10h00 ET |
| **Durable Goods Orders** | Census Bureau | Mensal | ~Dia 24-28, 8h30 ET |
| **Core Capital Goods Orders (ex-defense, ex-aircraft)** | Census Bureau | Mensal | Junto com Durable Goods |
| **Business Inventories** | Census Bureau | Mensal | ~Dia 14-17, 10h00 ET |
| **Wholesale Inventories** | Census Bureau | Mensal | ~Dia 8-10, 10h00 ET |

---

## 4. CONSUMO E VAREJO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Retail Sales** | Census Bureau | Mensal | ~Dia 14-17, 8h30 ET |
| **Core Retail Sales (ex-autos)** | Census Bureau | Mensal | Junto com Retail Sales |
| **Retail Sales Control Group** | Census Bureau | Mensal | Junto com Retail Sales |
| **Personal Income** | BEA | Mensal | ~Dia 28-31, 8h30 ET |
| **Personal Spending (PCE)** | BEA | Mensal | Junto com Personal Income |
| **Consumer Confidence (Conference Board)** | Conference Board | Mensal | Última terça-feira do mês, 10h00 ET |
| **Michigan Consumer Sentiment** | Univ. of Michigan | Mensal | Prelim ~dia 14, Final ~dia 28, 10h00 ET |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Redbook (vendas semanais varejo)** | Redbook Research | Semanal | Toda terça-feira, 8h55 ET |
| **Personal Savings Rate** | BEA | Mensal | Junto com Personal Income |
| **Vehicle Sales** | BEA/Automakers | Mensal | ~Dia 1-3 |
| **Consumer Credit** | Federal Reserve | Mensal | ~Dia 7, 15h00 ET |
| **Real Personal Spending** | BEA | Mensal | Junto com PCE |

---

## 5. MERCADO IMOBILIÁRIO E CONSTRUÇÃO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Housing Starts** | Census Bureau | Mensal | ~Dia 17-20, 8h30 ET |
| **Building Permits** | Census Bureau | Mensal | Junto com Housing Starts |
| **Existing Home Sales** | NAR | Mensal | ~Dia 20-24, 10h00 ET |
| **New Home Sales** | Census Bureau | Mensal | ~Dia 23-27, 10h00 ET |
| **Case-Shiller Home Price Index** | S&P/Case-Shiller | Mensal | Última terça-feira do mês, 9h00 ET |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **NAHB Housing Market Index** | NAHB | Mensal | ~Dia 15-18, 10h00 ET |
| **Pending Home Sales** | NAR | Mensal | ~Dia 27-30, 10h00 ET |
| **FHFA House Price Index** | FHFA | Mensal | ~Dia 25-28, 9h00 ET |
| **Construction Spending** | Census Bureau | Mensal | 1º dia útil do mês, 10h00 ET |
| **MBA Mortgage Applications** | MBA | Semanal | Toda quarta-feira, 7h00 ET |
| **30-Year Mortgage Rate** | Freddie Mac | Semanal | Toda quinta-feira |
| **Housing Affordability Index** | NAR | Mensal | ~Dia 10-15 |

---

## 6. SETOR EXTERNO E COMÉRCIO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Trade Balance (Goods and Services)** | Census/BEA | Mensal | ~Dia 3-7, 8h30 ET |
| **Current Account Balance** | BEA | Trimestral | ~3 meses após fim do trimestre |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Advance Goods Trade Balance** | Census Bureau | Mensal | ~Dia 27-29, 8h30 ET |
| **Export/Import Prices** | BLS | Mensal | ~Dia 13-16, 8h30 ET |
| **Treasury International Capital (TIC)** | Treasury | Mensal | ~Dia 15-18, 16h00 ET |
| **Net Foreign Purchases of US Securities** | Treasury | Mensal | Junto com TIC |

---

## 7. POLÍTICA MONETÁRIA E FEDERAL RESERVE

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **FOMC Decision (Fed Funds Rate)** | Federal Reserve | 8x por ano | Quarta-feira, 14h00 ET |
| **FOMC Statement** | Federal Reserve | 8x por ano | Junto com decisão |
| **FOMC Press Conference (Powell)** | Federal Reserve | 8x por ano | 14h30 ET após decisão |
| **FOMC Minutes** | Federal Reserve | 8x por ano | 3 semanas após decisão, 14h00 ET |
| **Fed Dot Plot (Summary of Economic Projections - SEP)** | Federal Reserve | 4x por ano | Março, junho, setembro, dezembro |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Beige Book** | Federal Reserve | 8x por ano | 2 semanas antes do FOMC, 14h00 ET |
| **Fed Balance Sheet** | Federal Reserve | Semanal | Toda quinta-feira, 16h30 ET |
| **Fed Speeches (Powell, Waller, Williams, etc.)** | Federal Reserve | Irregular | Variável |
| **Senior Loan Officer Survey (SLOOS)** | Federal Reserve | Trimestral | ~2 semanas antes do FOMC |
| **Financial Stability Report** | Federal Reserve | Semestral | Maio e novembro |
| **Monetary Policy Report (Humphrey-Hawkins)** | Federal Reserve | Semestral | Fevereiro e julho |
| **Fed Funds Futures (implícito)** | CME | Contínuo | - |
| **Reverse Repo Operations** | NY Fed | Diário | 13h15 ET |
| **Treasury General Account (TGA)** | Treasury | Diário | Final do dia |

---

## 8. POLÍTICA FISCAL E DÍVIDA

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Treasury Budget (Monthly Budget Statement)** | Treasury | Mensal | ~Dia 12-14, 14h00 ET |
| **Debt Ceiling Updates** | Treasury/Congress | Irregular | - |
| **Treasury Refunding Announcement** | Treasury | Trimestral | Fevereiro, maio, agosto, novembro |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Treasury Auctions (2Y, 5Y, 10Y, 30Y)** | Treasury | Semanal/Mensal | Variável, 13h00 ET |
| **Bid-to-Cover Ratio** | Treasury | Cada leilão | Junto com leilão |
| **Foreign Holdings of US Treasuries (TIC)** | Treasury | Mensal | ~Dia 15-18 |
| **CBO Budget Projections** | CBO | Irregular | - |
| **Debt-to-GDP Ratio** | Treasury/BEA | Trimestral | - |

---

## 9. INDICADORES LÍDERES E COMPOSTOS

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Leading Economic Index (LEI)** | Conference Board | Mensal | ~Dia 20-22, 10h00 ET |

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Coincident Economic Index** | Conference Board | Mensal | Junto com LEI |
| **Lagging Economic Index** | Conference Board | Mensal | Junto com LEI |
| **CFNAI (Chicago Fed National Activity Index)** | Chicago Fed | Mensal | ~Dia 20-24, 8h30 ET |
| **NFIB Small Business Optimism** | NFIB | Mensal | 2ª terça-feira do mês, 6h00 ET |
| **CEO Confidence Survey** | Conference Board | Trimestral | - |
| **Duke CFO Survey** | Duke/Fed | Trimestral | - |

---

## 10. CRÉDITO E CONDIÇÕES FINANCEIRAS

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **Consumer Credit** | Federal Reserve | Mensal | ~Dia 7, 15h00 ET |
| **Senior Loan Officer Survey (SLOOS)** | Federal Reserve | Trimestral | ~2 semanas antes do FOMC |
| **Chicago Fed Financial Conditions Index** | Chicago Fed | Semanal | Toda quarta-feira, 8h30 ET |
| **St. Louis Fed Financial Stress Index** | St. Louis Fed | Semanal | Toda sexta-feira |
| **Kansas City Fed Financial Stress Index** | Kansas City Fed | Mensal | - |
| **Credit Spreads (IG, HY)** | Mercado | Contínuo | - |
| **Bank Lending (H.8)** | Federal Reserve | Semanal | Toda sexta-feira, 16h15 ET |
| **Delinquency Rates** | Federal Reserve | Trimestral | - |
| **Charge-Off Rates** | Federal Reserve | Trimestral | - |

---

## 11. ENERGIA E COMMODITIES

### Relevância Intermediária
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **EIA Crude Oil Inventories** | EIA | Semanal | Toda quarta-feira, 10h30 ET |
| **API Crude Oil Inventories** | API | Semanal | Toda terça-feira, 16h30 ET |
| **EIA Natural Gas Storage** | EIA | Semanal | Toda quinta-feira, 10h30 ET |
| **Baker Hughes Rig Count** | Baker Hughes | Semanal | Toda sexta-feira, 13h00 ET |
| **Gasoline Inventories** | EIA | Semanal | Junto com Crude |
| **Distillate Inventories** | EIA | Semanal | Junto com Crude |
| **EIA Short-Term Energy Outlook** | EIA | Mensal | ~Dia 7-10 |

---

## 12. EXPECTATIVAS E SURVEYS REGIONAIS

### Surveys Regionais do Fed
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **NY Empire State Manufacturing** | NY Fed | Mensal | ~Dia 15, 8h30 ET |
| **Philly Fed Manufacturing** | Philadelphia Fed | Mensal | 3ª quinta-feira, 8h30 ET |
| **Richmond Fed Manufacturing** | Richmond Fed | Mensal | 4ª terça-feira, 10h00 ET |
| **Dallas Fed Manufacturing** | Dallas Fed | Mensal | Última segunda-feira, 10h30 ET |
| **Kansas City Fed Manufacturing** | Kansas City Fed | Mensal | 4ª quinta-feira, 11h00 ET |
| **Dallas Fed Services** | Dallas Fed | Mensal | ~Dia 28-30, 10h30 ET |
| **Philly Fed Services** | Philadelphia Fed | Mensal | - |
| **Richmond Fed Services** | Richmond Fed | Mensal | - |
| **NY Fed Services** | NY Fed | Mensal | - |

### Outros Surveys
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|-------|------------|-------------------|
| **NFIB Small Business Optimism** | NFIB | Mensal | 2ª terça-feira, 6h00 ET |
| **IBD/TIPP Economic Optimism** | IBD/TIPP | Mensal | ~Dia 7-10 |
| **Langer Consumer Comfort** | Bloomberg | Semanal | Toda quinta-feira |
| **Gallup Economic Confidence** | Gallup | Semanal/Mensal | Variável |

---

## 13. DADOS DE ALTA FREQUÊNCIA (ALTERNATIVOS)

### Relevância Baixa-Média (usado por quants)
| Indicador | Fonte | Frequência | Notas |
|-----------|-------|------------|-------|
| **Redbook Retail Sales** | Redbook | Semanal | Terça, 8h55 ET |
| **Johnson Redbook** | Johnson Redbook | Semanal | - |
| **Rasmussen Consumer Index** | Rasmussen | Diário | - |
| **Google Trends** | Google | Contínuo | Leading indicator informal |
| **OpenTable Reservations** | OpenTable | Diário | Proxy de consumo |
| **TSA Checkpoint Data** | TSA | Diário | Proxy de viagens |
| **Box Office Revenue** | Variável | Semanal | Proxy de consumo |
| **Rail Traffic** | AAR | Semanal | Proxy de atividade |
| **Electricity Demand** | EIA | Semanal | Proxy de atividade |
| **Steel Production** | AISI | Semanal | - |

---

## RESUMO: CALENDÁRIO TÍPICO DO MÊS (EUA)

### Semana 1 do mês
| Dia | Dados típicos |
|-----|---------------|
| Segunda | ISM Manufacturing |
| Terça | JOLTS, Factory Orders |
| Quarta | ADP Employment, ISM Services, Trade Balance |
| Quinta | Initial Claims, Productivity |
| Sexta | **NONFARM PAYROLLS**, Unemployment Rate |

### Semana 2 do mês
| Dia | Dados típicos |
|-----|---------------|
| Segunda | - |
| Terça | NFIB Small Business |
| Quarta | **CPI** |
| Quinta | **PPI**, Initial Claims |
| Sexta | Import/Export Prices, Michigan Sentiment (Prelim) |

### Semana 3 do mês
| Dia | Dados típicos |
|-----|---------------|
| Segunda | Empire State Manufacturing |
| Terça | Retail Sales, Industrial Production |
| Quarta | Housing Starts, Building Permits, FOMC (se houver) |
| Quinta | Philly Fed, Initial Claims, Existing Home Sales |
| Sexta | Leading Economic Index, Flash PMIs |

### Semana 4 do mês
| Dia | Dados típicos |
|-----|---------------|
| Segunda | Chicago Fed National Activity |
| Terça | Consumer Confidence, Case-Shiller, Richmond Fed |
| Quarta | New Home Sales |
| Quinta | **GDP** (se for mês de release), Durable Goods, Initial Claims, Pending Home Sales |
| Sexta | **PCE**, Personal Income, Michigan Sentiment (Final) |

---

## RANKING DE IMPACTO (PARA REFERÊNCIA)

### ⚡⚡⚡ MUITO ALTO
1. FOMC Decision + Statement + Powell
2. Nonfarm Payrolls (NFP)
3. CPI / Core CPI
4. PCE / Core PCE
5. GDP

### ⚡⚡ ALTO
6. FOMC Minutes
7. ISM Manufacturing
8. ISM Services
9. Retail Sales
10. PPI
11. JOLTS
12. Initial Jobless Claims
13. Consumer Confidence
14. Michigan Sentiment
15. Durable Goods (Core Capital Goods)

### ⚡ MÉDIO
16. ADP Employment
17. Housing Starts / Building Permits
18. Existing / New Home Sales
19. Trade Balance
20. Empire State / Philly Fed
21. Industrial Production
22. Flash PMIs (S&P Global)
23. Personal Income / Spending
24. Beige Book
25. Case-Shiller

### 🐢 BAIXO
26. Chicago PMI
27. Factory Orders
28. Business Inventories
29. Leading Economic Index
30. Regional Fed Surveys (Dallas, Richmond, Kansas City)
31. Construction Spending
32. NAHB Housing Index
33. Consumer Credit
34. TIC Data

---

Deseja que eu agora gere a **tabela de reação completa** para cada um desses indicadores, seguindo o mesmo formato da tabela brasileira (WDO e WIN)?

# TABELA DE REAÇÃO PARA SCALPER MACRO – DADOS DOS EUA

## ATIVOS OPERADOS

| Ativo | Descrição | Horário de Negociação |
|-------|-----------|----------------------|
| **WDO** | Mini Dólar (USD/BRL) | 9h00-18h00 BRT |
| **WIN** | Mini Índice Ibovespa | 9h00-18h00 BRT |
| **ES/SPX** | S&P 500 Futures | 24h (CME) |
| **DXY/USD** | Índice Dólar | 24h |

---

## LEGENDA DE REAÇÃO

| Símbolo | Significado |
|---------|-------------|
| 🟢 | Compra forte |
| 🔵 | Compra moderada |
| ⚪ | Neutro / Aguardar |
| 🟠 | Venda moderada |
| 🔴 | Venda forte |
| ⚡ | Alta volatilidade esperada |
| 🐢 | Movimento lento/gradual |

---

## LÓGICA GERAL DE REAÇÃO (EUA → BRASIL)

### Entendendo o fluxo:

```
DADO EUA FORTE (hawkish)
    → Fed mantém juros altos mais tempo
    → USD fortalece (DXY sobe)
    → S&P500 cai (juros altos = ruim para ações)
    → WDO sobe (dólar sobe vs real)
    → WIN cai (risk-off + dólar forte)

DADO EUA FRACO (dovish)
    → Fed pode cortar juros antes
    → USD enfraquece (DXY cai)
    → S&P500 sobe (juros menores = bom para ações)
    → WDO cai (dólar cai vs real)
    → WIN sobe (risk-on + emergentes beneficiados)
```

**IMPORTANTE:** Em alguns casos, a reação pode ser ambígua (ex: dado muito fraco pode assustar sobre recessão → risk-off → dólar sobe como safe haven).

---

# 1. INFLAÇÃO

## 1.1 CPI (Consumer Price Index) – Inflação ao Consumidor
**Fonte:** Bureau of Labor Statistics (BLS)
**Divulgação:** ~Dia 10-14 do mês, 8h30 ET (9h30 BRT)
**Impacto:** ⚡⚡⚡ MUITO ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Inflação persistente → Fed hawkish → juros altos por mais tempo | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 15-60 min |
| **NA LINHA do consenso** | Sem surpresa, mercado já precificou | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | Ruído inicial |
| **ABAIXO do consenso** | Inflação cedendo → Fed pode cortar antes | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 15-60 min |

### Observações do Scalper:
- **Core CPI (ex-food & energy)** é MAIS importante que headline
- Olhar **Shelter/Housing** (maior peso) e **Services ex-shelter**
- **Supercore** (services ex-housing) é o que o Fed mais olha
- CPI MoM mais importante que YoY para reação imediata
- Primeira vela pode dar falso movimento – esperar 2-3 min
- Se Core e Headline divergem, Core domina a reação

---

## 1.2 CORE CPI (CPI ex-Food & Energy)
**Fonte:** BLS
**Divulgação:** Junto com CPI
**Impacto:** ⚡⚡⚡ MUITO ALTO (mais que headline)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Inflação subjacente forte → muito hawkish | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 15-60 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Core caindo → grande alívio | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 15-60 min |

---

## 1.3 PCE (Personal Consumption Expenditures)
**Fonte:** Bureau of Economic Analysis (BEA)
**Divulgação:** ~Dia 28-31 do mês, 8h30 ET (9h30 BRT)
**Impacto:** ⚡⚡⚡ MUITO ALTO (métrica preferida do Fed)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Métrica do Fed acima → hawkish | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 15-60 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Alívio inflacionário → dovish | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 15-60 min |

### Observações do Scalper:
- **Core PCE** é A MÉTRICA que o Fed usa na meta de 2%
- Sai junto com Personal Income e Personal Spending
- Se PCE fraco + Spending forte = reação pode ser mista
- Muitas vezes já foi "antecipado" pelo CPI da semana anterior

---

## 1.4 CORE PCE (PCE ex-Food & Energy)
**Fonte:** BEA
**Divulgação:** Junto com PCE
**Impacto:** ⚡⚡⚡ MUITO ALTO (A métrica do Fed)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Core PCE alto = Fed não corta | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 15-60 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Core PCE caindo = cortes à vista | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 15-60 min |

---

## 1.5 PPI (Producer Price Index)
**Fonte:** BLS
**Divulgação:** ~Dia 11-15 do mês, 8h30 ET (9h30 BRT)
**Impacto:** ⚡⚡ ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Pressão nos custos → pode passar para CPI | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Custos cedendo → bom para margens e inflação | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-30 min |

### Observações do Scalper:
- Geralmente sai 1-2 dias depois do CPI
- Core PPI mais relevante que headline
- PPI alimenta PCE com defasagem
- Menos impacto que CPI, mas pode reforçar narrativa

---

## 1.6 CORE PPI
**Fonte:** BLS
**Divulgação:** Junto com PPI
**Impacto:** ⚡⚡ ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Pressão de custos persistente | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Alívio nos custos | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-30 min |

---

## 1.7 IMPORT/EXPORT PRICES
**Fonte:** BLS
**Divulgação:** ~Dia 13-16 do mês, 8h30 ET
**Impacto:** ⚡ MÉDIO-BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Inflação importada subindo | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Inflação importada cedendo | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 5-15 min |

---

## 1.8 EMPLOYMENT COST INDEX (ECI)
**Fonte:** BLS
**Divulgação:** Último dia útil do trimestre, 8h30 ET
**Impacto:** ⚡⚡ ALTO (trimestral, muito olhado pelo Fed)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Custos trabalhistas altos → inflação salarial | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 15-45 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Pressão salarial cedendo | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 15-45 min |

### Observações do Scalper:
- Sai só 4x por ano – muito peso quando sai
- Fed olha muito ECI para avaliar espiral salário-preço
- Pode sair junto com GDP ou PCE – cuidado com sobreposição

---

## 1.9 MICHIGAN INFLATION EXPECTATIONS (1 ano e 5-10 anos)
**Fonte:** University of Michigan
**Divulgação:** Preliminar ~dia 14, Final ~dia 28, 10h00 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
